gameid,side,result,teamname,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat10,xpat10,csat10,goldat20,xpat20,csat20,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,goldat15,xpat15,csat15,firsttower,firstdragon,firstherald,firstblood,turretplates
LOLTMNT03_180626,Blue,1,DN Freecs Challengers,1022.0,416.0,-6.0,4.0,4.0,2.0,16565.0,19143.0,314.0,35725.0,45387.0,702.0,2074.0,2160.0,14.0,6.0,6.0,4.0,25933.0,31782.0,518.0,1.0,0.0,0.0,1.0,7.0
LOLTMNT03_180626,Red,0,Nongshim Esports Academy,-1022.0,-416.0,6.0,2.0,0.0,4.0,15543.0,18727.0,320.0,32481.0,42132.0,693.0,-2074.0,-2160.0,-14.0,4.0,2.0,6.0,23859.0,29622.0,504.0,0.0,1.0,1.0,0.0,2.0
LOLTMNT03_180652,Blue,0,OKSavingsBank BRION Challengers,135.0,-858.0,-40.0,2.0,5.0,0.0,15467.0,17917.0,303.0,32506.0,41746.0,685.0,-1477.0,-1472.0,-45.0,3.0,9.0,3.0,23890.0,28752.0,488.0,0.0,0.0,0.0,1.0,5.0
LOLTMNT03_180652,Red,1,T1 Esports Academy,-135.0,858.0,40.0,0.0,0.0,2.0,15332.0,18775.0,343.0,34673.0,41769.0,736.0,1477.0,1472.0,45.0,3.0,8.0,3.0,25367.0,30224.0,533.0,1.0,1.0,1.0,0.0,8.0
LOLTMNT03_180657,Blue,0,OKSavingsBank BRION Challengers,1.0,-1200.0,0.0,1.0,1.0,1.0,15475.0,18665.0,342.0,31998.0,42594.0,742.0,-2548.0,-3476.0,-21.0,1.0,1.0,4.0,23203.0,29605.0,539.0,0.0,1.0,1.0,0.0,2.0
LOLTMNT03_180657,Red,1,T1 Esports Academy,-1.0,1200.0,0.0,1.0,0.0,1.0,15474.0,19865.0,342.0,35668.0,45754.0,779.0,2548.0,3476.0,21.0,4.0,4.0,1.0,25751.0,33081.0,560.0,1.0,0.0,0.0,1.0,4.0
LOLTMNT03_180680,Blue,0,BNK FEARX Youth,-394.0,-986.0,-9.0,0.0,0.0,0.0,15030.0,18193.0,334.0,30178.0,37522.0,673.0,-2386.0,-3226.0,-9.0,1.0,3.0,4.0,22813.0,26839.0,494.0,0.0,1.0,0.0,1.0,2.0
LOLTMNT03_180680,Red,1,Hanwha Life Esports Challengers,394.0,986.0,9.0,0.0,0.0,0.0,15424.0,19179.0,343.0,34859.0,44142.0,693.0,2386.0,3226.0,9.0,4.0,8.0,1.0,25199.0,30065.0,503.0,1.0,0.0,1.0,0.0,8.0
LOLTMNT03_181730,Blue,0,Hanwha Life Esports Challengers,-650.0,-1014.0,-18.0,1.0,1.0,1.0,15210.0,18216.0,323.0,32120.0,42389.0,722.0,-1022.0,-2154.0,-25.0,1.0,1.0,1.0,22893.0,28345.0,527.0,0.0,0.0,0.0,1.0,1.0
LOLTMNT03_181730,Red,1,BNK FEARX Youth,650.0,1014.0,18.0,1.0,0.0,1.0,15860.0,19230.0,341.0,32199.0,40906.0,723.0,1022.0,2154.0,25.0,1.0,0.0,1.0,23915.0,30499.0,552.0,1.0,1.0,1.0,0.0,4.0
LOLTMNT03_181763,Blue,0,Hanwha Life Esports Challengers,85.0,-322.0,-13.0,0.0,0.0,0.0,15584.0,19756.0,357.0,32943.0,40880.0,729.0,364.0,-241.0,-10.0,0.0,0.0,1.0,23762.0,30431.0,563.0,1.0,0.0,0.0,0.0,6.0
LOLTMNT03_181763,Red,1,BNK FEARX Youth,-85.0,322.0,13.0,0.0,0.0,0.0,15499.0,20078.0,370.0,30778.0,40258.0,730.0,-364.0,241.0,10.0,1.0,2.0,0.0,23398.0,30672.0,573.0,0.0,1.0,1.0,1.0,3.0
LOLTMNT03_182166,Blue,0,Dplus KIA Challengers,-1858.0,-1550.0,-26.0,0.0,0.0,2.0,14365.0,18106.0,311.0,31589.0,41497.0,681.0,-2446.0,-2753.0,-41.0,1.0,2.0,3.0,22536.0,28523.0,507.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT03_182166,Red,1,KT Rolster Challengers,1858.0,1550.0,26.0,2.0,3.0,0.0,16223.0,19656.0,337.0,36194.0,44551.0,740.0,2446.0,2753.0,41.0,3.0,3.0,1.0,24982.0,31276.0,548.0,1.0,1.0,1.0,1.0,6.0
LOLTMNT03_182173,Blue,1,KT Rolster Challengers,15.0,-381.0,-11.0,1.0,2.0,0.0,14691.0,18327.0,297.0,33747.0,41543.0,704.0,1539.0,-107.0,13.0,2.0,5.0,0.0,23627.0,29296.0,504.0,1.0,1.0,1.0,1.0,4.0
LOLTMNT03_182173,Red,0,Dplus KIA Challengers,-15.0,381.0,11.0,0.0,0.0,1.0,14676.0,18708.0,308.0,30484.0,40593.0,663.0,-1539.0,107.0,-13.0,0.0,0.0,2.0,22088.0,29403.0,491.0,0.0,0.0,0.0,0.0,3.0
LOLTMNT03_183141,Blue,1,DRX Challengers,262.0,264.0,7.0,0.0,0.0,0.0,14849.0,18476.0,328.0,33968.0,42811.0,719.0,420.0,246.0,16.0,0.0,0.0,1.0,23313.0,29209.0,544.0,1.0,0.0,1.0,0.0,4.0
LOLTMNT03_183141,Red,0,Gen.G Global Academy,-262.0,-264.0,-7.0,0.0,0.0,0.0,14587.0,18212.0,321.0,30960.0,40201.0,731.0,-420.0,-246.0,-16.0,1.0,4.0,0.0,22893.0,28963.0,528.0,0.0,1.0,0.0,1.0,2.0
LOLTMNT03_183156,Blue,0,Gen.G Global Academy,-255.0,13.0,-1.0,0.0,0.0,1.0,15193.0,19189.0,349.0,31922.0,41241.0,724.0,-316.0,-1452.0,-34.0,1.0,3.0,1.0,23403.0,29372.0,544.0,0.0,0.0,1.0,0.0,1.0
LOLTMNT03_183156,Red,1,DRX Challengers,255.0,-13.0,1.0,1.0,4.0,0.0,15448.0,19176.0,350.0,33510.0,42841.0,742.0,316.0,1452.0,34.0,1.0,4.0,1.0,23719.0,30824.0,578.0,1.0,1.0,0.0,1.0,4.0
LOLTMNT03_182386,Blue,1,Ramboot Club,2115.0,870.0,29.0,2.0,4.0,0.0,16530.0,18834.0,351.0,35658.0,42141.0,743.0,3256.0,1831.0,45.0,5.0,14.0,2.0,26178.0,30043.0,541.0,1.0,0.0,1.0,1.0,5.0
LOLTMNT03_182386,Red,0,ZETA,-2115.0,-870.0,-29.0,0.0,0.0,2.0,14415.0,17964.0,322.0,30789.0,40517.0,672.0,-3256.0,-1831.0,-45.0,2.0,5.0,5.0,22922.0,28212.0,496.0,0.0,1.0,0.0,0.0,1.0
LOLTMNT03_182440,Blue,1,LUA Gaming,1193.0,1274.0,29.0,1.0,0.0,0.0,16145.0,19841.0,362.0,35380.0,40206.0,690.0,1909.0,20.0,23.0,1.0,0.0,2.0,24983.0,28288.0,516.0,1.0,0.0,1.0,1.0,7.0
LOLTMNT03_182440,Red,0,Guasones,-1193.0,-1274.0,-29.0,0.0,0.0,1.0,14952.0,18567.0,333.0,30929.0,39908.0,668.0,-1909.0,-20.0,-23.0,2.0,3.0,1.0,23074.0,28268.0,493.0,0.0,1.0,0.0,0.0,2.0
LOLTMNT03_183380,Blue,0,GIANTX Pride,-2100.0,-1833.0,-19.0,1.0,2.0,5.0,14669.0,17013.0,296.0,32834.0,39768.0,644.0,-2760.0,-2641.0,-21.0,3.0,5.0,9.0,22789.0,26987.0,452.0,0.0,1.0,0.0,1.0,4.0
LOLTMNT03_183380,Red,1,Veni Vidi Vici,2100.0,1833.0,19.0,5.0,15.0,1.0,16769.0,18846.0,315.0,34698.0,42394.0,641.0,2760.0,2641.0,21.0,9.0,18.0,3.0,25549.0,29628.0,473.0,1.0,0.0,1.0,0.0,3.0
LOLTMNT03_182503,Blue,0,Movistar KOI Fénix,336.0,1231.0,3.0,2.0,1.0,1.0,15891.0,19950.0,343.0,32204.0,42170.0,754.0,541.0,1032.0,15.0,2.0,1.0,2.0,24209.0,30945.0,559.0,0.0,0.0,0.0,1.0,3.0
LOLTMNT03_182503,Red,1,UCAM Esports,-336.0,-1231.0,-3.0,1.0,2.0,2.0,15555.0,18719.0,340.0,32637.0,42825.0,765.0,-541.0,-1032.0,-15.0,2.0,4.0,2.0,23668.0,29913.0,544.0,1.0,1.0,0.0,0.0,2.0
LOLTMNT03_182532,Blue,1,Los Heretics,1100.0,1768.0,28.0,2.0,3.0,1.0,16343.0,19667.0,353.0,34490.0,44170.0,774.0,1456.0,2256.0,48.0,2.0,3.0,1.0,24674.0,31878.0,580.0,1.0,0.0,0.0,0.0,5.0
LOLTMNT03_182532,Red,0,Barça eSports,-1100.0,-1768.0,-28.0,1.0,2.0,2.0,15243.0,17899.0,325.0,32287.0,41770.0,714.0,-1456.0,-2256.0,-48.0,1.0,2.0,2.0,23218.0,29622.0,532.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT03_183532,Blue,1,OKSavingsBank BRION,1415.0,1377.0,26.0,3.0,9.0,1.0,16391.0,18880.0,347.0,37476.0,44466.0,774.0,3067.0,2588.0,24.0,5.0,13.0,1.0,25921.0,30248.0,553.0,1.0,1.0,1.0,0.0,4.0
LOLTMNT03_183532,Red,0,DRX,-1415.0,-1377.0,-26.0,1.0,3.0,3.0,14976.0,17503.0,321.0,30847.0,39748.0,729.0,-3067.0,-2588.0,-24.0,1.0,3.0,5.0,22854.0,27660.0,529.0,0.0,0.0,0.0,1.0,1.0
LOLTMNT03_183538,Blue,1,DRX,-381.0,-116.0,-11.0,1.0,3.0,1.0,15615.0,19131.0,341.0,34521.0,43134.0,722.0,1476.0,811.0,-6.0,3.0,6.0,1.0,24685.0,29831.0,530.0,1.0,1.0,1.0,0.0,7.0
LOLTMNT03_183538,Red,0,OKSavingsBank BRION,381.0,116.0,11.0,1.0,2.0,1.0,15996.0,19247.0,352.0,31940.0,42685.0,755.0,-1476.0,-811.0,6.0,1.0,2.0,3.0,23209.0,29020.0,536.0,0.0,0.0,0.0,1.0,2.0
LOLTMNT03_183544,Blue,0,OKSavingsBank BRION,1583.0,554.0,7.0,4.0,8.0,0.0,16853.0,19366.0,347.0,34058.0,41153.0,683.0,1993.0,1056.0,5.0,5.0,9.0,0.0,25831.0,31298.0,562.0,0.0,0.0,1.0,1.0,2.0
LOLTMNT03_183544,Red,1,DRX,-1583.0,-554.0,-7.0,0.0,0.0,4.0,15270.0,18812.0,340.0,33496.0,42381.0,682.0,-1993.0,-1056.0,-5.0,0.0,0.0,5.0,23838.0,30242.0,557.0,1.0,1.0,0.0,0.0,3.0
LOLTMNT03_183585,Blue,1,DN Freecs,488.0,31.0,12.0,0.0,0.0,0.0,15342.0,19254.0,353.0,33650.0,41931.0,701.0,958.0,-232.0,-7.0,3.0,7.0,2.0,24223.0,29814.0,525.0,0.0,1.0,1.0,0.0,2.0
LOLTMNT03_183585,Red,0,Nongshim RedForce,-488.0,-31.0,-12.0,0.0,0.0,0.0,14854.0,19223.0,341.0,31846.0,41465.0,722.0,-958.0,232.0,7.0,2.0,3.0,3.0,23265.0,30046.0,532.0,1.0,0.0,0.0,1.0,4.0
LOLTMNT03_182705,Blue,1,Nongshim RedForce,-429.0,-491.0,-15.0,1.0,2.0,1.0,15593.0,19116.0,342.0,34500.0,43906.0,762.0,1406.0,557.0,2.0,4.0,9.0,2.0,25271.0,30201.0,534.0,1.0,1.0,1.0,0.0,1.0
LOLTMNT03_182705,Red,0,DN Freecs,429.0,491.0,15.0,1.0,2.0,1.0,16022.0,19607.0,357.0,33636.0,44102.0,750.0,-1406.0,-557.0,-2.0,2.0,5.0,4.0,23865.0,29644.0,532.0,0.0,0.0,0.0,1.0,3.0
LOLTMNT03_182729,Blue,1,DN Freecs,83.0,-478.0,-11.0,1.0,1.0,1.0,15477.0,18061.0,330.0,32743.0,42158.0,722.0,-694.0,-772.0,-3.0,3.0,6.0,4.0,23670.0,28200.0,514.0,0.0,1.0,0.0,0.0,3.0
LOLTMNT03_182729,Red,0,Nongshim RedForce,-83.0,478.0,11.0,1.0,1.0,1.0,15394.0,18539.0,341.0,34061.0,40469.0,719.0,694.0,772.0,3.0,4.0,8.0,3.0,24364.0,28972.0,517.0,1.0,0.0,1.0,1.0,3.0
LOLTMNT06_95254,Blue,1,Los Ratones,827.0,-80.0,27.0,2.0,3.0,3.0,17106.0,19877.0,370.0,39281.0,46333.0,792.0,3135.0,344.0,53.0,6.0,13.0,5.0,27868.0,32055.0,583.0,1.0,1.0,1.0,1.0,7.0
LOLTMNT06_95254,Red,0,NORD Esports,-827.0,80.0,-27.0,3.0,3.0,2.0,16279.0,19957.0,343.0,33074.0,44229.0,726.0,-3135.0,-344.0,-53.0,5.0,7.0,6.0,24733.0,31711.0,530.0,0.0,0.0,0.0,0.0,3.0
LOLTMNT03_183723,Blue,0,GIANTX Pride,766.0,772.0,15.0,3.0,4.0,2.0,16184.0,18061.0,321.0,34148.0,40894.0,704.0,674.0,-30.0,-8.0,4.0,6.0,2.0,23963.0,28538.0,506.0,0.0,0.0,1.0,0.0,2.0
LOLTMNT03_183723,Red,1,LUA Gaming,-766.0,-772.0,-15.0,2.0,3.0,3.0,15418.0,17289.0,306.0,34897.0,42609.0,677.0,-674.0,30.0,8.0,2.0,3.0,4.0,23289.0,28568.0,514.0,1.0,1.0,0.0,1.0,4.0
LOLTMNT03_183750,Blue,0,UCAM Esports,-196.0,-382.0,-17.0,0.0,0.0,0.0,15382.0,19362.0,351.0,32479.0,42256.0,731.0,-566.0,-1314.0,-22.0,1.0,0.0,1.0,23482.0,29982.0,554.0,1.0,0.0,0.0,1.0,2.0
LOLTMNT03_183750,Red,1,Ramboot Club,196.0,382.0,17.0,0.0,0.0,0.0,15578.0,19744.0,368.0,33886.0,43776.0,757.0,566.0,1314.0,22.0,1.0,1.0,1.0,24048.0,31296.0,576.0,0.0,1.0,1.0,0.0,2.0
LOLTMNT06_96247,Blue,0,Bulldog Esports,-2.0,395.0,5.0,4.0,5.0,4.0,16475.0,19557.0,316.0,33952.0,41884.0,682.0,-1550.0,-1079.0,2.0,6.0,9.0,8.0,25269.0,30193.0,499.0,0.0,0.0,0.0,0.0,4.0
LOLTMNT06_96247,Red,1,Verdant,2.0,-395.0,-5.0,4.0,3.0,4.0,16477.0,19162.0,311.0,37388.0,45762.0,691.0,1550.0,1079.0,-2.0,8.0,9.0,6.0,26819.0,31272.0,497.0,1.0,1.0,1.0,1.0,7.0
LOLTMNT03_183778,Blue,1,Movistar KOI Fénix,667.0,1276.0,46.0,0.0,0.0,1.0,15579.0,19216.0,356.0,36808.0,43390.0,713.0,2704.0,2262.0,47.0,6.0,19.0,4.0,26157.0,30522.0,519.0,1.0,0.0,1.0,0.0,6.0
LOLTMNT03_183778,Red,0,Guasones,-667.0,-1276.0,-46.0,1.0,1.0,0.0,14912.0,17940.0,310.0,33450.0,42172.0,643.0,-2704.0,-2262.0,-47.0,4.0,8.0,6.0,23453.0,28260.0,472.0,0.0,1.0,0.0,1.0,3.0
LOLTMNT06_96258,Blue,0,Lundqvist Lightside,-1896.0,-1998.0,-18.0,1.0,2.0,4.0,15060.0,17356.0,324.0,32662.0,38967.0,624.0,-2149.0,-1866.0,-34.0,4.0,6.0,9.0,24467.0,28120.0,486.0,0.0,0.0,0.0,0.0,2.0
LOLTMNT06_96258,Red,1,Los Ratones,1896.0,1998.0,18.0,4.0,11.0,1.0,16956.0,19354.0,342.0,37490.0,43129.0,685.0,2149.0,1866.0,34.0,9.0,20.0,4.0,26616.0,29986.0,520.0,1.0,1.0,1.0,1.0,2.0
LOLTMNT03_182901,Blue,0,Veni Vidi Vici,-2505.0,-2145.0,-48.0,0.0,0.0,2.0,14660.0,18311.0,314.0,29586.0,38890.0,643.0,-5695.0,-3272.0,-74.0,1.0,2.0,3.0,22315.0,28452.0,490.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT03_182901,Red,1,Los Heretics,2505.0,2145.0,48.0,2.0,5.0,0.0,17165.0,20456.0,362.0,42247.0,49290.0,774.0,5695.0,3272.0,74.0,3.0,7.0,1.0,28010.0,31724.0,564.0,1.0,1.0,1.0,1.0,11.0
LOLTMNT06_96262,Blue,0,Verdant,675.0,406.0,0.0,3.0,4.0,2.0,16777.0,19620.0,343.0,35447.0,42682.0,683.0,434.0,-260.0,-12.0,5.0,8.0,5.0,25499.0,30085.0,515.0,1.0,0.0,1.0,1.0,3.0
LOLTMNT06_96262,Red,1,NORD Esports,-675.0,-406.0,0.0,2.0,1.0,3.0,16102.0,19214.0,343.0,34986.0,43289.0,721.0,-434.0,260.0,12.0,5.0,7.0,5.0,25065.0,30345.0,527.0,0.0,1.0,0.0,0.0,4.0
LOLTMNT03_183815,Blue,1,Barça eSports,1462.0,1116.0,15.0,3.0,4.0,0.0,16312.0,19610.0,334.0,38578.0,45563.0,655.0,6864.0,6564.0,80.0,9.0,18.0,0.0,27834.0,31878.0,514.0,1.0,0.0,1.0,1.0,8.0
LOLTMNT03_183815,Red,0,ZETA,-1462.0,-1116.0,-15.0,0.0,0.0,3.0,14850.0,18494.0,319.0,29317.0,35347.0,582.0,-6864.0,-6564.0,-80.0,0.0,0.0,9.0,20970.0,25314.0,434.0,0.0,1.0,0.0,0.0,2.0
LOLTMNT06_96264,Blue,1,Bulldog Esports,-2293.0,105.0,-11.0,1.0,1.0,7.0,14650.0,17860.0,302.0,30939.0,38128.0,592.0,-4968.0,-997.0,-20.0,3.0,8.0,11.0,22557.0,27372.0,455.0,0.0,1.0,1.0,1.0,2.0
LOLTMNT06_96264,Red,0,Lundqvist Lightside,2293.0,-105.0,11.0,7.0,10.0,2.0,16943.0,17755.0,313.0,35694.0,37948.0,625.0,4968.0,997.0,20.0,11.0,21.0,4.0,27525.0,28369.0,475.0,1.0,0.0,0.0,0.0,8.0
LOLTMNT03_184010,Blue,1,DN Freecs Challengers,-18.0,595.0,1.0,2.0,4.0,3.0,15549.0,18297.0,313.0,36541.0,44861.0,728.0,-880.0,-1071.0,-1.0,5.0,14.0,8.0,24926.0,29423.0,503.0,1.0,1.0,0.0,0.0,1.0
LOLTMNT03_184010,Red,0,OKSavingsBank BRION Challengers,18.0,-595.0,-1.0,3.0,2.0,2.0,15567.0,17702.0,312.0,33368.0,41327.0,680.0,880.0,1071.0,1.0,8.0,17.0,5.0,25806.0,30494.0,504.0,0.0,0.0,1.0,1.0,4.0
LOLTMNT03_184011,Blue,1,DRX Challengers,1156.0,1245.0,16.0,3.0,4.0,1.0,17060.0,20481.0,377.0,38193.0,42835.0,695.0,4283.0,1721.0,5.0,7.0,13.0,2.0,28535.0,31529.0,557.0,1.0,0.0,1.0,0.0,6.0
LOLTMNT03_184011,Red,0,Nongshim Esports Academy,-1156.0,-1245.0,-16.0,1.0,1.0,3.0,15904.0,19236.0,361.0,34171.0,40636.0,703.0,-4283.0,-1721.0,-5.0,2.0,2.0,7.0,24252.0,29808.0,552.0,0.0,1.0,0.0,1.0,2.0
LOLTMNT03_184009,Blue,1,KT Rolster Challengers,-242.0,-585.0,-19.0,2.0,3.0,2.0,15797.0,17882.0,310.0,35117.0,42342.0,678.0,1446.0,269.0,-31.0,6.0,13.0,3.0,25671.0,29808.0,492.0,0.0,1.0,1.0,1.0,6.0
LOLTMNT03_184009,Red,0,Hanwha Life Esports Challengers,242.0,585.0,19.0,2.0,2.0,2.0,16039.0,18467.0,329.0,34977.0,43030.0,704.0,-1446.0,-269.0,31.0,3.0,3.0,6.0,24225.0,29539.0,523.0,1.0,0.0,0.0,0.0,4.0
LOLTMNT03_183923,Blue,0,OKSavingsBank BRION Challengers,-650.0,-877.0,1.0,4.0,10.0,5.0,16706.0,18557.0,329.0,33960.0,43227.0,705.0,-3817.0,-2591.0,-26.0,4.0,10.0,9.0,23912.0,29378.0,516.0,0.0,0.0,1.0,1.0,2.0
LOLTMNT03_183923,Red,1,DN Freecs Challengers,650.0,877.0,-1.0,5.0,5.0,4.0,17356.0,19434.0,328.0,37420.0,43602.0,733.0,3817.0,2591.0,26.0,9.0,16.0,4.0,27729.0,31969.0,542.0,1.0,1.0,0.0,0.0,6.0
LOLTMNT03_183925,Blue,0,Nongshim Esports Academy,-334.0,-475.0,-19.0,1.0,1.0,1.0,15548.0,18758.0,339.0,31292.0,42188.0,744.0,-3436.0,-3610.0,-47.0,1.0,1.0,4.0,23303.0,29054.0,541.0,0.0,0.0,0.0,1.0,2.0
LOLTMNT03_183925,Red,1,DRX Challengers,334.0,475.0,19.0,1.0,1.0,1.0,15882.0,19233.0,358.0,36696.0,45765.0,807.0,3436.0,3610.0,47.0,4.0,7.0,1.0,26739.0,32664.0,588.0,1.0,1.0,1.0,0.0,7.0
LOLTMNT03_184034,Blue,0,Hanwha Life Esports Challengers,-315.0,-329.0,22.0,2.0,2.0,4.0,16346.0,18593.0,336.0,31900.0,40836.0,672.0,-2144.0,-377.0,38.0,3.0,2.0,10.0,24014.0,30028.0,523.0,0.0,0.0,0.0,0.0,3.0
LOLTMNT03_184034,Red,1,KT Rolster Challengers,315.0,329.0,-22.0,4.0,8.0,2.0,16661.0,18922.0,314.0,36277.0,42126.0,661.0,2144.0,377.0,-38.0,10.0,18.0,3.0,26158.0,30405.0,485.0,1.0,1.0,1.0,1.0,2.0
LOLTMNT03_184086,Blue,0,BNK FEARX,-1066.0,-1507.0,-5.0,2.0,3.0,3.0,15336.0,17642.0,318.0,32375.0,40622.0,657.0,-3266.0,-3681.0,-38.0,3.0,6.0,8.0,23174.0,27831.0,493.0,0.0,0.0,0.0,1.0,3.0
LOLTMNT03_184086,Red,1,KT Rolster,1066.0,1507.0,5.0,3.0,8.0,2.0,16402.0,19149.0,323.0,36981.0,44256.0,719.0,3266.0,3681.0,38.0,8.0,21.0,3.0,26440.0,31512.0,531.0,1.0,1.0,1.0,0.0,2.0
LOLTMNT03_183991,Blue,1,BNK FEARX,656.0,140.0,-12.0,4.0,5.0,2.0,16708.0,19126.0,328.0,38606.0,45285.0,701.0,2717.0,1857.0,-18.0,10.0,18.0,4.0,27192.0,30702.0,498.0,1.0,0.0,1.0,1.0,3.0
LOLTMNT03_183991,Red,0,KT Rolster,-656.0,-140.0,12.0,2.0,3.0,4.0,16052.0,18986.0,340.0,31810.0,39408.0,695.0,-2717.0,-1857.0,18.0,4.0,8.0,10.0,24475.0,28845.0,516.0,0.0,1.0,0.0,0.0,1.0
