gameid,side,result,teamname,goldat10,xpat10,csat10,goldat20,firsttower,firstdragon,firstherald,firstblood
LOLTMNT01_192618,Blue,1,CTBC Flying Oyster,16290.0,19508.0,374.0,36323.0,1.0,0.0,1.0,1.0
LOLTMNT04_92110,Red,1,Fnatic,15517.0,18516.0,339.0,34095.0,1.0,1.0,0.0,0.0
LOLTMNT04_92126,Red,1,Movistar KOI,15692.0,18597.0,319.0,33801.0,1.0,0.0,1.0,0.0
LOLTMNT01_192721,Blue,0,Vivo Keyd Stars,14997.0,19442.0,352.0,29978.0,0.0,0.0,0.0,0.0
LOLTMNT04_92133,Red,1,G2 Esports,15115.0,19159.0,354.0,32871.0,0.0,1.0,0.0,1.0
LOLTMNT01_191692,Blue,1,Vivo Keyd Stars,15666.0,18830.0,339.0,38947.0,1.0,0.0,1.0,1.0
LOLTMNT01_191712,Red,1,FlyQuest,15236.0,18806.0,329.0,34538.0,1.0,1.0,1.0,0.0
LOLTMNT01_191715,Red,0,Vivo Keyd Stars,15201.0,19561.0,345.0,33248.0,0.0,0.0,0.0,0.0
LOLTMNT01_191718,Red,1,FlyQuest,17022.0,20152.0,361.0,36421.0,1.0,0.0,1.0,1.0
LOLTMNT03_191289,Blue,1,T1,15948.0,18819.0,355.0,34959.0,1.0,0.0,0.0,1.0
LOLTMNT03_191291,Red,1,T1,17013.0,18583.0,310.0,33409.0,1.0,0.0,0.0,1.0
LOLTMNT03_191298,Blue,1,KT Rolster,15897.0,18388.0,345.0,34386.0,0.0,0.0,1.0,0.0
LOLTMNT03_190508,Red,1,KT Rolster,16299.0,20023.0,363.0,34125.0,0.0,1.0,1.0,1.0
LOLTMNT01_192954,Blue,1,PSG Talon,16079.0,18883.0,348.0,33337.0,1.0,0.0,0.0,1.0
LOLTMNT01_192973,Red,1,PSG Talon,15405.0,18450.0,330.0,32574.0,1.0,0.0,0.0,0.0
LOLTMNT04_93174,Blue,1,Fnatic,16262.0,17634.0,304.0,33398.0,1.0,0.0,0.0,1.0
LOLTMNT04_93174,Red,0,G2 Esports,16718.0,18304.0,308.0,33379.0,0.0,1.0,1.0,0.0
LOLTMNT04_92219,Red,1,Movistar KOI,16148.0,19595.0,367.0,36488.0,1.0,1.0,1.0,1.0
LOLTMNT01_194069,Red,1,100 Thieves,15593.0,19050.0,343.0,34941.0,0.0,0.0,0.0,0.0
LOLTMNT01_194092,Red,1,100 Thieves,15447.0,18507.0,335.0,34325.0,1.0,1.0,1.0,1.0
LOLTMNT04_93276,Blue,1,Fnatic,15701.0,18678.0,340.0,34811.0,0.0,0.0,0.0,0.0
LOLTMNT04_93287,Blue,1,G2 Esports,18180.0,20200.0,346.0,40678.0,1.0,1.0,1.0,0.0
LOLTMNT04_93308,Red,1,Movistar KOI,16653.0,18843.0,333.0,36446.0,1.0,1.0,1.0,1.0
LOLTMNT01_196721,Red,0,KT Rolster,15616.0,18233.0,322.0,32562.0,1.0,1.0,0.0,0.0
LOLTMNT01_195821,Blue,1,KT Rolster,16067.0,19359.0,332.0,35019.0,1.0,1.0,1.0,1.0
LOLTMNT01_196743,Red,1,KT Rolster,15414.0,18129.0,327.0,33747.0,1.0,1.0,0.0,0.0
LOLTMNT01_195885,Red,1,Hanwha Life Esports,16712.0,19310.0,351.0,34534.0,1.0,0.0,0.0,1.0
LOLTMNT01_195897,Red,1,Hanwha Life Esports,16797.0,18243.0,311.0,36878.0,1.0,0.0,1.0,0.0
LOLTMNT01_198268,Blue,1,T1,15950.0,17937.0,318.0,33803.0,0.0,1.0,0.0,1.0
LOLTMNT01_198268,Red,0,Gen.G,15915.0,18721.0,334.0,33911.0,1.0,0.0,1.0,0.0
LOLTMNT01_198283,Blue,1,Gen.G,16156.0,19992.0,351.0,36507.0,1.0,0.0,1.0,0.0
LOLTMNT01_198283,Red,0,T1,15400.0,18053.0,319.0,34159.0,0.0,1.0,0.0,1.0
LOLTMNT01_198303,Blue,1,T1,17652.0,18663.0,311.0,35224.0,1.0,0.0,0.0,1.0
LOLTMNT01_198303,Red,0,Gen.G,16816.0,18954.0,326.0,36289.0,0.0,1.0,1.0,0.0
LOLTMNT01_198544,Red,1,Vivo Keyd Stars,15863.0,19438.0,361.0,33548.0,0.0,1.0,0.0,0.0
LOLTMNT01_197947,Red,0,Vivo Keyd Stars,16384.0,20150.0,341.0,32201.0,0.0,1.0,1.0,1.0
LOLTMNT04_92679,Red,1,Fnatic,16583.0,18324.0,324.0,36465.0,0.0,1.0,0.0,1.0
LOLTMNT01_198607,Blue,0,Vivo Keyd Stars,15534.0,20094.0,366.0,34075.0,0.0,1.0,1.0,0.0
LOLTMNT04_92696,Red,1,G2 Esports,15740.0,18654.0,349.0,35381.0,0.0,1.0,1.0,1.0
LOLTMNT04_92709,Red,0,Movistar KOI,16819.0,17009.0,299.0,36280.0,1.0,0.0,1.0,1.0
LOLTMNT04_92827,Blue,1,Fnatic,16421.0,19570.0,366.0,38746.0,1.0,1.0,1.0,1.0
LOLTMNT04_93937,Blue,1,G2 Esports,16944.0,18807.0,326.0,36994.0,0.0,0.0,0.0,1.0
LOLTMNT04_93937,Red,0,Movistar KOI,16370.0,18046.0,340.0,34775.0,1.0,1.0,1.0,0.0
LOLTMNT01_199589,Red,1,100 Thieves,16241.0,17563.0,295.0,33235.0,0.0,1.0,0.0,1.0
LOLTMNT01_199614,Red,0,100 Thieves,15451.0,17691.0,324.0,33657.0,1.0,0.0,1.0,0.0
LOLTMNT01_199618,Blue,1,100 Thieves,18066.0,18381.0,290.0,36575.0,0.0,1.0,1.0,0.0
LOLTMNT01_199622,Blue,1,FlyQuest,16611.0,19942.0,350.0,38210.0,1.0,0.0,1.0,0.0
LOLTMNT01_200234,Red,0,FlyQuest,14942.0,18832.0,331.0,33387.0,0.0,0.0,0.0,0.0
LOLTMNT01_199637,Blue,0,FlyQuest,15643.0,18679.0,329.0,32719.0,1.0,0.0,1.0,0.0
LOLTMNT01_199640,Blue,1,100 Thieves,17423.0,19767.0,350.0,36092.0,1.0,0.0,1.0,1.0
LOLTMNT04_92952,Blue,1,Movistar KOI,17554.0,18188.0,324.0,39043.0,1.0,0.0,1.0,1.0
LOLTMNT04_92989,Blue,1,G2 Esports,16195.0,19948.0,369.0,37736.0,1.0,0.0,0.0,0.0
LOLTMNT04_94054,Red,1,Fnatic,17015.0,18469.0,320.0,37979.0,0.0,1.0,1.0,0.0
LOLTMNT01_202632,Blue,1,CTBC Flying Oyster,15823.0,18489.0,330.0,35576.0,1.0,0.0,1.0,0.0
LOLTMNT01_202642,Red,1,CTBC Flying Oyster,17956.0,20513.0,362.0,38089.0,1.0,0.0,1.0,1.0
LOLTMNT01_202919,Red,1,PSG Talon,16816.0,19494.0,359.0,36016.0,1.0,0.0,0.0,0.0
LOLTMNT01_203870,Red,1,PSG Talon,15664.0,18026.0,312.0,38806.0,1.0,0.0,1.0,1.0
LOLTMNT01_204096,Blue,1,T1,17717.0,19563.0,348.0,39928.0,1.0,1.0,1.0,1.0
LOLTMNT01_205030,Red,1,T1,15254.0,18419.0,326.0,38986.0,1.0,1.0,0.0,1.0
LOLTMNT01_204112,Blue,1,Hanwha Life Esports,16207.0,17487.0,296.0,36193.0,1.0,0.0,0.0,1.0
LOLTMNT01_204114,Red,1,Hanwha Life Esports,16893.0,18594.0,330.0,36317.0,1.0,0.0,0.0,1.0
LOLTMNT02_209518,Blue,1,CTBC Flying Oyster,15786.0,18925.0,352.0,34277.0,0.0,0.0,0.0,0.0
LOLTMNT02_209539,Red,0,CTBC Flying Oyster,15211.0,19019.0,346.0,34451.0,0.0,0.0,0.0,0.0
LOLTMNT02_209565,Blue,0,CTBC Flying Oyster,15594.0,18822.0,329.0,36327.0,1.0,0.0,1.0,0.0
LOLTMNT02_207916,Blue,1,PSG Talon,16927.0,18142.0,316.0,35395.0,1.0,0.0,1.0,0.0
LOLTMNT02_207935,Red,0,PSG Talon,15729.0,19170.0,340.0,33750.0,1.0,0.0,0.0,1.0
LOLTMNT02_210527,Blue,1,PSG Talon,16667.0,19514.0,354.0,36681.0,1.0,1.0,1.0,1.0
LOLTMNT02_211224,Red,1,FlyQuest,16025.0,18222.0,323.0,34048.0,1.0,0.0,0.0,1.0
LOLTMNT02_210813,Blue,1,FlyQuest,15822.0,19331.0,339.0,35264.0,1.0,0.0,1.0,1.0
LOLTMNT02_210822,Red,1,FlyQuest,15050.0,18798.0,332.0,33229.0,1.0,1.0,0.0,0.0
LOLTMNT02_212651,Blue,0,KT Rolster,15118.0,18340.0,341.0,31469.0,1.0,1.0,0.0,0.0
LOLTMNT02_212665,Blue,0,KT Rolster,15936.0,18703.0,337.0,31554.0,0.0,1.0,0.0,0.0
LOLTMNT02_213066,Blue,0,KT Rolster,15768.0,18933.0,324.0,33385.0,1.0,0.0,1.0,0.0
LOLTMNT02_214006,Blue,1,Hanwha Life Esports,17028.0,19872.0,383.0,35393.0,1.0,0.0,1.0,0.0
LOLTMNT02_214006,Red,0,T1,15974.0,19792.0,362.0,32309.0,0.0,1.0,0.0,1.0
LOLTMNT02_214014,Blue,1,T1,17195.0,19005.0,334.0,39289.0,1.0,1.0,0.0,0.0
LOLTMNT02_214014,Red,0,Hanwha Life Esports,15635.0,18000.0,330.0,33745.0,0.0,0.0,1.0,1.0
LOLTMNT02_214018,Blue,1,Hanwha Life Esports,17306.0,17734.0,317.0,33912.0,1.0,1.0,1.0,0.0
LOLTMNT02_214018,Red,0,T1,15322.0,16986.0,314.0,33228.0,0.0,0.0,0.0,1.0
LOLTMNT02_213440,Blue,1,T1,16019.0,17428.0,295.0,35251.0,0.0,1.0,1.0,0.0
LOLTMNT02_213440,Red,0,Hanwha Life Esports,16727.0,16872.0,306.0,35023.0,1.0,0.0,0.0,1.0
LOLTMNT02_214059,Blue,1,Hanwha Life Esports,15566.0,19083.0,335.0,31730.0,1.0,1.0,0.0,1.0
LOLTMNT02_214059,Red,0,T1,15216.0,18371.0,333.0,31540.0,0.0,0.0,1.0,0.0
LOLTMNT02_215487,Blue,1,CTBC Flying Oyster,16347.0,20716.0,369.0,35453.0,1.0,1.0,1.0,0.0
LOLTMNT02_215487,Red,0,PSG Talon,16195.0,20045.0,374.0,32361.0,0.0,0.0,0.0,1.0
LOLTMNT02_216518,Blue,1,PSG Talon,16665.0,18744.0,313.0,35513.0,1.0,1.0,1.0,1.0
LOLTMNT02_216518,Red,0,CTBC Flying Oyster,15082.0,18256.0,332.0,31449.0,0.0,0.0,0.0,0.0
LOLTMNT02_215538,Blue,1,CTBC Flying Oyster,15812.0,19525.0,353.0,33803.0,0.0,0.0,0.0,1.0
LOLTMNT02_215538,Red,0,PSG Talon,15039.0,19139.0,348.0,35293.0,1.0,1.0,1.0,0.0
LOLTMNT05_111524,Blue,1,Fnatic,15946.0,18744.0,335.0,37134.0,1.0,0.0,1.0,1.0
LOLTMNT05_112394,Red,1,Fnatic,15276.0,17601.0,303.0,33845.0,0.0,1.0,1.0,1.0
LOLTMNT05_112400,Blue,1,G2 Esports,15932.0,19864.0,364.0,34792.0,0.0,1.0,1.0,1.0
LOLTMNT02_217276,Blue,1,100 Thieves,15977.0,18818.0,344.0,32311.0,0.0,0.0,1.0,1.0
LOLTMNT05_112410,Red,1,G2 Esports,15713.0,17809.0,310.0,33808.0,0.0,1.0,0.0,0.0
LOLTMNT02_217290,Red,1,100 Thieves,17399.0,19120.0,344.0,35452.0,1.0,1.0,0.0,1.0
LOLTMNT02_218183,Red,1,FlyQuest,16539.0,20143.0,370.0,34193.0,1.0,1.0,1.0,1.0
LOLTMNT02_217322,Red,1,FlyQuest,16198.0,18772.0,314.0,37022.0,1.0,1.0,0.0,0.0
LOLTMNT02_217358,Blue,0,Gen.G,16261.0,19321.0,366.0,35176.0,1.0,1.0,1.0,1.0
LOLTMNT02_217358,Red,1,Hanwha Life Esports,15704.0,19174.0,347.0,34808.0,0.0,0.0,0.0,0.0
LOLTMNT02_217366,Blue,1,Gen.G,16278.0,19491.0,354.0,37023.0,1.0,0.0,1.0,1.0
LOLTMNT02_217366,Red,0,Hanwha Life Esports,14632.0,17556.0,317.0,31646.0,0.0,1.0,0.0,0.0
LOLTMNT02_217372,Blue,1,Hanwha Life Esports,16545.0,19419.0,356.0,35892.0,0.0,0.0,1.0,1.0
LOLTMNT02_217372,Red,0,Gen.G,15757.0,18598.0,349.0,34317.0,1.0,1.0,0.0,0.0
LOLTMNT02_217385,Blue,1,Gen.G,15992.0,19682.0,353.0,36532.0,1.0,0.0,0.0,1.0
LOLTMNT02_217385,Red,0,Hanwha Life Esports,15737.0,18169.0,331.0,35090.0,0.0,1.0,1.0,0.0
LOLTMNT02_218314,Blue,1,Hanwha Life Esports,17217.0,17300.0,312.0,37470.0,1.0,0.0,1.0,1.0
LOLTMNT02_218314,Red,0,Gen.G,14246.0,16440.0,279.0,31347.0,0.0,1.0,0.0,0.0
LOLTMNT02_218337,Blue,1,CTBC Flying Oyster,17122.0,20228.0,364.0,37353.0,1.0,1.0,0.0,0.0
LOLTMNT02_217417,Blue,1,CTBC Flying Oyster,15408.0,19220.0,341.0,35609.0,1.0,0.0,0.0,0.0
LOLTMNT02_218378,Blue,1,PSG Talon,15817.0,19068.0,351.0,34501.0,1.0,0.0,0.0,0.0
LOLTMNT02_218391,Red,0,PSG Talon,15643.0,17703.0,290.0,30501.0,0.0,1.0,0.0,1.0
LOLTMNT02_218414,Blue,1,PSG Talon,15870.0,18535.0,317.0,33091.0,1.0,0.0,0.0,1.0
LOLTMNT05_112512,Blue,1,Movistar KOI,18805.0,19232.0,349.0,38905.0,1.0,1.0,1.0,1.0
LOLTMNT05_112514,Red,1,Movistar KOI,15556.0,19056.0,369.0,32382.0,0.0,1.0,0.0,0.0
LOLTMNT05_111721,Blue,0,Fnatic,16141.0,19431.0,314.0,36567.0,1.0,0.0,1.0,1.0
LOLTMNT05_111721,Red,1,G2 Esports,15521.0,18588.0,329.0,33950.0,0.0,1.0,0.0,0.0
LOLTMNT05_111732,Blue,0,Fnatic,16289.0,19376.0,326.0,33183.0,1.0,1.0,1.0,0.0
LOLTMNT05_111732,Red,1,G2 Esports,15806.0,18079.0,320.0,32863.0,0.0,0.0,0.0,1.0
LOLTMNT05_111735,Red,0,Movistar KOI,15089.0,17914.0,338.0,30884.0,0.0,0.0,0.0,0.0
